STATION,min,max,mean,centx,centy
500100,21.200,29.200,26.040,788436.756,1202288.280
8722381,0.133,1.305,0.682,935186.756,1025788.280
8722471,0.026,1.259,0.606,957270.089,968288.280
8722832,0.129,1.428,0.724,962686.756,719788.280
8722854,0.160,1.470,0.750,961936.756,708288.280
8722946,0.042,1.117,0.536,953508.185,642288.280
8723094,0.235,1.286,0.708,949936.756,552288.280
8723156,0.213,1.292,0.708,948936.756,541288.280
8723303,0.223,1.141,0.623,935891.301,457788.280
8723532,0.571,1.219,0.877,876308.185,341545.423
8723571,0.404,0.936,0.655,875936.756,325288.280
8723622,0.139,1.295,0.672,864478.423,315163.280
8723651,-0.149,0.502,0.158,856782.910,297442.126
8723667,-0.004,0.807,0.361,844786.756,281788.280
Adams_Key,0.222,1.258,0.706,910436.756,390413.280
BA,0.573,1.777,1.121,788090.602,228172.895
BASSETT,39.000,45.800,42.476,671936.756,1118288.280
BCA20,2.200,6.700,5.196,671936.756,498288.280
BCNPA5,7.740,11.950,10.144,671936.756,605288.280
BCNPA9,4.500,9.300,7.430,671936.756,536788.280
BN,0.526,1.716,1.068,817400.171,253190.719
BS,0.605,1.853,1.170,856936.756,310788.280
Billys_Point_E,0.393,1.182,0.757,918244.448,399288.280
Binney_Dock,0.235,0.765,0.518,885436.756,1156288.280
Boca_Raton,0.104,1.410,0.718,964642.638,734288.280
Boynton_Beach,0.278,1.597,0.881,973336.756,809288.280
CN,1.057,2.469,1.725,671936.756,403788.280
Cape_Florida,0.289,1.314,0.752,938127.232,479288.280
Coon_Point_Ell,0.378,1.206,0.766,924289.697,414288.280
Delray_Beach,0.113,1.462,0.738,968573.120,776788.280
Donald_Ross_Br,0.022,1.374,0.657,968736.756,927621.613
Dumfoundling_B,0.393,1.458,0.891,949603.423,586788.280
FLYGW1,32.400,39.700,35.819,671936.756,1086788.280
Flaming,0.400,1.700,0.998,671936.756,299788.280
Fort_Pierce,-0.303,1.240,0.412,895970.089,1125854.947
Ft_Lauderdale,0.191,1.420,0.751,954186.756,653788.280
GRIFFIT,62.800,67.900,64.832,671936.756,1163288.280
Golden_Beach,0.337,1.448,0.858,949936.756,598788.280
Gomez,0.077,1.315,0.659,943436.756,1004788.280
Haulover_Pier,0.323,1.409,0.763,949003.423,569288.280
Hillsboro_Inle,0.069,1.457,0.698,959353.423,693788.280
Hillsboro_Insi,0.118,1.458,0.725,960603.423,701288.280
Hobe_Sound_Bri,-0.165,1.020,0.393,947736.756,995788.280
Hobe_Sound_Sta,0.076,1.265,0.637,953203.423,983288.280
Hollywood_Beac,0.260,1.411,0.801,950749.256,615788.280
Jupiter_Inlet,-0.181,1.308,0.513,963036.756,947788.280
Jupiter_Sound,0.125,1.576,0.802,960561.756,956788.280
Key_Biscayne_Y,0.287,1.306,0.755,939482.211,495288.280
Key_Colony_Bea,0.106,1.225,0.545,674233.052,175441.058
LR,0.423,1.697,1.015,671936.756,215288.280
L_OKEE,8.800,18.600,14.064,671936.756,931788.280
Lake_Worth,-0.052,1.165,0.481,974936.756,826288.280
Lake_Worth_Cre,0.015,1.361,0.649,965436.756,938788.280
Lauderdale_By_,0.264,1.553,0.840,956667.525,674788.280
MK,0.237,1.478,0.829,671936.756,262788.280
Miami_Bch_Govt,0.195,1.311,0.689,944036.756,516788.280
Miami_Beach,0.153,1.331,0.668,947436.756,530788.280
NF_St_Lucie_Ri,0.159,1.279,0.688,910936.756,1089788.280
NPP34,-0.700,4.800,2.573,671936.756,455788.280
NR,0.240,1.510,0.850,671936.756,364788.280
North_Beach_Ca,0.442,0.949,0.714,881870.089,1166288.280
North_Dania_So,0.252,1.530,0.828,951936.756,634788.280
North_Miami_Be,0.109,1.345,0.665,948936.756,580288.280
North_Palm_Bea,-0.084,1.380,0.576,973714.534,906788.280
Ocean_Reef_Har,0.080,1.491,0.730,897508.185,365573.994
Ocean_Ridge,0.171,1.561,0.820,971008.185,794788.280
PGA,0.125,1.324,0.652,971136.756,918288.280
PK,0.349,1.615,0.926,740923.769,190976.592
Palm_Beach,-0.129,1.320,0.531,975579.613,874788.280
Palm_Beach_2,0.044,1.376,0.639,975870.089,860288.280
Peck_Lake,0.023,1.201,0.575,939013.679,1015288.280
ROCK_K,58.300,65.400,61.323,696490.602,1201734.434
Ragged_Key_3,0.274,1.312,0.761,932403.423,439688.280
S127_H,10.300,15.600,13.210,671936.756,1014288.280
S129_H,9.900,14.300,12.863,671936.756,987288.280
S65E_T,8.551,18.515,13.898,671936.756,1049288.280
Sands_Key,0.388,1.185,0.755,927236.756,427788.280
Seminole_Shore,-0.092,1.419,0.573,928774.594,1048288.280
Stuart_chd,0.249,1.321,0.755,916874.256,1074788.280
Totten_Key,0.420,1.144,0.757,903325.645,377788.280
Vero_Beach,0.468,0.899,0.685,863191.928,1199322.763
Virginia_Key,0.408,1.502,0.894,941300.392,506288.280
WE,0.300,1.606,0.923,671936.756,330288.280
WPB,-0.081,1.550,0.629,975624.256,889788.280
Wednesday_Poin,0.499,1.203,0.831,890167.525,356365.203
West_Palm_Beac,-0.102,1.245,0.520,974936.756,844288.280
Whiskey_Creek_,0.326,1.490,0.863,951365.327,627288.280
Yamato_chd,0.194,1.518,0.814,966154.147,754288.280
